trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
174,CLS,2025-05-06 09:35,91.5,91.1841,91.2031,2025-05-06 09:38,-212.79,-0.33%,712
169,WOLF,2025-05-06 09:32,4.25,4.1325,4.1359,2025-05-06 09:38,-2298.26,-2.73%,19787
179,TAL,2025-05-06 09:36,9.21,9.1532,9.1558,2025-05-06 09:39,-296.55,-0.61%,5281
173,AMC,2025-05-06 09:35,2.7099,2.657,2.6652,2025-05-06 09:40,-1125.58,-1.72%,24102
165,IQ,2025-05-06 09:32,1.9684,1.9494,1.9626,2025-05-06 09:42,-92.49,-0.40%,11842
168,TDUP,2025-05-06 09:32,5.8351,5.4805,5.7811,2025-05-06 09:42,-130.21,-0.96%,2326
182,CCJ,2025-05-06 09:42,45.965,45.898,45.898,2025-05-06 09:43,-154.42,-0.15%,2238
184,PONY,2025-05-06 09:42,10.965,10.7828,10.7828,2025-05-06 09:43,-606.57,-1.68%,3293
183,GDXU,2025-05-06 09:42,69.2,68.6954,68.7,2025-05-06 09:44,-298.19,-0.73%,594
180,UAL,2025-05-06 09:38,74.525,74.1694,74.2237,2025-05-06 09:44,-383.62,-0.41%,1265
188,INSP,2025-05-06 09:44,148.2,145.5753,147.31,2025-05-06 09:45,-50.84,-0.60%,57
172,MRIN,2025-05-06 09:34,1.56,1.4452,1.4521,2025-05-06 09:45,-358.86,-7.04%,3266
186,MST,2025-05-06 09:43,20.44,20.3589,20.3624,2025-05-06 09:45,-147.11,-0.39%,1849
187,SPOT,2025-05-06 09:43,639.27,636.8626,636.9249,2025-05-06 09:45,-218.28,-0.37%,93
164,CORT,2025-05-06 09:32,72.13,68.3555,72.3,2025-05-06 09:46,6.55,0.23%,39
178,FUBO,2025-05-06 09:36,2.505,2.4836,2.495,2025-05-06 09:46,-588.78,-0.48%,49065
189,BB,2025-05-06 09:46,3.635,3.6201,3.6201,2025-05-06 09:47,-425.32,-0.46%,25167
177,AMZU,2025-05-06 09:36,27.16,27.0182,27.21,2025-05-06 09:48,177.7,0.18%,3702
171,FCX,2025-05-06 09:34,37.74,37.436,37.6248,2025-05-06 09:49,-115.56,-0.31%,986
191,YPF,2025-05-06 09:47,28.82,28.6827,28.85,2025-05-06 09:49,45.86,0.10%,1638
167,NBIS,2025-05-06 09:32,23.65,23.4954,24.1636,2025-05-06 09:50,3226.31,2.16%,6306
159,HIMS,2025-05-06 09:31,39.89,38.7109,45.6491,2025-05-06 09:51,6223.42,14.43%,1081
160,HIMZ,2025-05-06 09:31,22,20.8204,28.81,2025-05-06 09:51,3458.49,30.95%,508
181,PINS,2025-05-06 09:40,27.44,27.3555,27.4202,2025-05-06 09:51,-135.59,-0.08%,6213
190,ARMK,2025-05-06 09:47,35.8,35.5773,36.2,2025-05-06 09:55,267.85,1.11%,673
